time_delay_command_to_ev_measurement_s,pairing_accuracy
0,1.0
1,0.4666666666666667
2,0.12
3,0.17666666666666667
4,0.09
5,0.06
6,0.03
7,0.03333333333333333
8,0.9566666666666667
9,0.93
10,0.8666666666666667
11,0.7466666666666667
12,0.7
13,1.0
14,1.0
15,0.9933333333333333
16,0.9733333333333334
17,0.96
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
